cycle,lvsa,pvsa,blood_flow,result
0,0,0,1,0
1,0,0,1,0
2,0,0,1,0
3,0,0,1,0
4,0,0,1,0
0,0,30,1,0
1,0,30,1,0
2,0,30,1,0
3,0,30,1,0
4,0,30,1,0
0,0,70,1,0
1,0,70,1,0
2,0,70,1,0
3,0,70,1,0
4,0,70,1,0
0,30,0,1,0
1,30,0,1,1
2,30,0,1,0
3,30,0,1,1
4,30,0,1,0
0,70,0,1,0
1,70,0,1,0
2,70,0,1,0
3,70,0,1,0
4,70,0,1,0
0,30,30,1,1
1,30,30,1,0
2,30,30,1,0
3,30,30,1,1
4,30,30,1,0
0,70,30,1,0
1,70,30,1,0
2,70,30,1,0
3,70,30,1,0
4,70,30,1,0
0,30,70,1,1
1,30,70,1,0
2,30,70,1,0
3,30,70,1,0
4,30,70,1,0
0,70,70,1,0
1,70,70,1,0
2,70,70,1,0
3,70,70,1,0
4,70,70,1,1
0,0,0,-1,0
1,0,0,-1,0
2,0,0,-1,0
3,0,0,-1,0
4,0,0,-1,0
0,0,30,-1,0
1,0,30,-1,0
2,0,30,-1,0
3,0,30,-1,0
4,0,30,-1,0
0,0,70,-1,0
1,0,70,-1,0
2,0,70,-1,0
3,0,70,-1,0
4,0,70,-1,0
0,30,0,-1,0
1,30,0,-1,1
2,30,0,-1,0
3,30,0,-1,0
4,30,0,-1,0
0,70,0,-1,0
1,70,0,-1,1
2,70,0,-1,0
3,70,0,-1,1
4,70,0,-1,0
0,30,30,-1,0
1,30,30,-1,0
2,30,30,-1,0
3,30,30,-1,0
4,30,30,-1,0
0,70,30,-1,0
1,70,30,-1,1
2,70,30,-1,0
3,70,30,-1,0
4,70,30,-1,0
0,30,70,-1,0
1,30,70,-1,0
2,30,70,-1,1
3,30,70,-1,0
4,30,70,-1,0
0,70,70,-1,0
1,70,70,-1,1
2,70,70,-1,1
3,70,70,-1,0
4,70,70,-1,1
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
0,0,30,0,0
1,0,30,0,0
2,0,30,0,0
3,0,30,0,0
4,0,30,0,0
0,0,70,0,0
1,0,70,0,0
2,0,70,0,0
3,0,70,0,0
4,0,70,0,0
0,30,0,0,0
1,30,0,0,1
2,30,0,0,0
3,30,0,0,0
4,30,0,0,0
0,70,0,0,0
1,70,0,0,0
2,70,0,0,0
3,70,0,0,0
4,70,0,0,0
0,30,30,0,0
1,30,30,0,1
2,30,30,0,0
3,30,30,0,0
4,30,30,0,0
0,70,30,0,0
1,70,30,0,0
2,70,30,0,0
3,70,30,0,0
4,70,30,0,0
0,30,70,0,0
1,30,70,0,0
2,30,70,0,0
3,30,70,0,0
4,30,70,0,0
0,70,70,0,0
1,70,70,0,0
2,70,70,0,0
3,70,70,0,0
4,70,70,0,1
,,,,
4,50,52,1,1
4,52,50,1,1
,,,,
0,75,0,1,0
,,,,
2,100,90,0,0
1,100,90,0,1
4,65,0,1,1
,,,,
0,90,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,100,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,75,50,1,1
0,50,75,1,0
1,90,100,0,1
2,100,90,0,0
0,95,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
0,80,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
0,60,0,-1,1
,,,,
0,90,90,1,1
,,,,
,,,,
,,,,
,,,,
0,91,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,80,60,1,1
0,60,80,1,1
0,90,50,1,1
0,50,90,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,90,60,1,1
0,60,90,1,1
,,,,
,,,,
0,90,0,0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,70,100,1,1
0,100,70,1,1
,,,,
0,90,0,-1,1
1,90,0,1,1
,,,,
0,30,95,1,1
0,95,30,1,1
,,,,
0,70,0,0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,10,10,-1,1
0,50,99,0,1
0,99,50,0,1
,,,,
1,90,90,1,1
,,,,
0,94,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,15,0,1,1
,,,,
0,20,0,1,1
,,,,
,,,,
0,79,0,1,1
0,79,99,1,1
0,99,79,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,59,0,-1,0
,,,,
,,,,
,,,,
0,47,0,1,0
,,,,
0,48,0,1,0
,,,,
0,27,0,1,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,50,0,1,1
,,,,
0,20,0,0,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,95,70,-1,0
0,70,95,-1,0
