cycle,lvsa,pvsa,blood_flow,result
0,0,0,1,0
1,0,0,1,0
3,0,0,1,0
,,,,
0,0,30,1,0
1,0,30,1,0
3,0,30,1,0
,,,,
0,0,70,1,0
1,0,70,1,0
3,0,70,1,0
,,,,
0,30,0,1,0
1,30,0,1,0
3,30,0,1,0
,,,,
0,70,0,1,2
1,70,0,1,2
3,70,0,1,2
,,,,
0,30,30,1,0
1,30,30,1,0
3,30,30,1,0
,,,,
0,70,30,1,2
1,70,30,1,2
3,70,30,1,2
,,,,
0,30,70,1,0
1,30,70,1,0
3,30,70,1,0
,,,,
0,70,70,1,0
1,70,70,1,0
3,70,70,1,0
,,,,
0,0,0,-1,1
1,0,0,-1,2
3,0,0,-1,1
,,,,
0,0,30,-1,1
1,0,30,-1,2
3,0,30,-1,1
,,,,
0,0,70,-1,1
1,0,70,-1,2
3,0,70,-1,1
,,,,
0,30,0,-1,1
1,30,0,-1,2
3,30,0,-1,1
,,,,
0,70,0,-1,1
1,70,0,-1,2
3,70,0,-1,1
,,,,
0,30,30,-1,1
1,30,30,-1,2
3,30,30,-1,1
,,,,
0,70,30,-1,1
1,70,30,-1,2
3,70,30,-1,1
,,,,
0,30,70,-1,1
1,30,70,-1,2
3,30,70,-1,1
,,,,
0,70,70,-1,1
1,70,70,-1,2
3,70,70,-1,1
,,,,
0,0,0,0,1
1,0,0,0,1
3,0,0,0,1
,,,,
0,0,30,0,2
1,0,30,0,2
3,0,30,0,2
,,,,
0,0,70,0,2
1,0,70,0,2
3,0,70,0,2
,,,,
0,30,0,0,2
1,30,0,0,2
3,30,0,0,2
,,,,
0,70,0,0,1
1,70,0,0,1
3,70,0,0,1
,,,,
0,30,30,0,2
1,30,30,0,2
3,30,30,0,2
,,,,
0,70,30,0,1
1,70,30,0,1
3,70,30,0,1
,,,,
0,30,70,0,2
1,30,70,0,2
3,30,70,0,2
,,,,
0,70,70,0,1
1,70,70,0,1
3,70,70,0,1
,,,,
,,,,
,,,,
,,,,
,,,,
