cycle,lvsa,pvsa,blood_flow,result
0,0,0,1,0
1,0,0,1,0
2,0,0,1,0
3,0,0,1,0
4,0,0,1,0
0,0,30,1,0
1,0,30,1,0
2,0,30,1,1
3,0,30,1,1
4,0,30,1,0
0,0,70,1,0
1,0,70,1,0
2,0,70,1,0
3,0,70,1,0
4,0,70,1,0
0,30,0,1,0
1,30,0,1,0
2,30,0,1,0
3,30,0,1,0
4,30,0,1,0
0,70,0,1,0
1,70,0,1,0
2,70,0,1,0
3,70,0,1,0
4,70,0,1,0
0,30,30,1,1
1,30,30,1,0
2,30,30,1,0
3,30,30,1,1
4,30,30,1,0
0,70,30,1,1
1,70,30,1,0
2,70,30,1,0
3,70,30,1,0
4,70,30,1,0
0,30,70,1,0
1,30,70,1,0
2,30,70,1,0
3,30,70,1,0
4,30,70,1,0
0,70,70,1,0
1,70,70,1,0
2,70,70,1,0
3,70,70,1,0
4,70,70,1,1
0,0,0,-1,0
1,0,0,-1,0
2,0,0,-1,0
3,0,0,-1,0
4,0,0,-1,0
0,0,30,-1,0
1,0,30,-1,0
2,0,30,-1,1
3,0,30,-1,0
4,0,30,-1,0
0,0,70,-1,0
1,0,70,-1,0
2,0,70,-1,1
3,0,70,-1,1
4,0,70,-1,0
0,30,0,-1,0
1,30,0,-1,0
2,30,0,-1,0
3,30,0,-1,0
4,30,0,-1,0
0,70,0,-1,0
1,70,0,-1,0
2,70,0,-1,0
3,70,0,-1,0
4,70,0,-1,0
0,30,30,-1,0
1,30,30,-1,0
2,30,30,-1,0
3,30,30,-1,0
4,30,30,-1,0
0,70,30,-1,0
1,70,30,-1,1
2,70,30,-1,0
3,70,30,-1,0
4,70,30,-1,0
0,30,70,-1,0
1,30,70,-1,0
2,30,70,-1,1
3,30,70,-1,0
4,30,70,-1,0
0,70,70,-1,0
1,70,70,-1,0
2,70,70,-1,0
3,70,70,-1,0
4,70,70,-1,1
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
